TYPE,PROVINCIA,03/03,04/03,05/03,06/03,07/03,08/03,09/03,10/03,11/03,12/03,13/03,14/03,15/03,16/03,17/03,18/03,19/03,20/03,21/03,22/03,23/03,24/03,25/03,26/03,27/03,28/03,29/03,30/03,31/03,01/04,02/04,03/04,04/04,05/04,06/04,07/04,08/04,09/04,10/04,11/04,12/04,13/04,14/04,15/04,16/04,17/04,18/04,19/04,20/04,21/04,22/04,23/04,24/04,25/04,26/04,27/04,28/04,29/04,30/04,01/05,02/05,03/05
ACTIVOS,BUENOS AIRES,0,0,1,2,2,3,3,4,5,9,10,11,12,13,15,20,35,44,57,65,70,99,129,139,172,181,196,230,247,255,289,308,333,365,375,405,421,442,460,493,517,545,609,670,695,727,756,803,845,901,850,925,982,1033,1087,1136,1178,1279,1343,1374,1417,1452
ACTIVOS,CABA,1,1,1,5,5,7,8,9,10,12,12,19,25,22,26,35,43,52,67,79,72,102,120,140,169,184,197,187,206,215,239,267,301,332,254,276,292,310,320,281,288,297,317,343,355,368,381,396,326,356,393,416,480,531,496,523,559,590,633,658,680,727
ACTIVOS,CATAMARCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTIVOS,CHACO,0,0,0,0,0,0,2,2,2,4,3,4,6,9,10,11,13,14,19,26,30,38,49,51,52,57,61,73,75,87,89,96,104,104,108,112,127,132,137,137,138,141,171,178,188,210,234,239,243,248,203,209,215,222,225,234,234,237,240,252,260,264
ACTIVOS,CHUBUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4
ACTIVOS,CORDOBA,0,0,0,1,1,1,1,1,1,2,2,3,3,3,5,6,9,14,18,26,28,35,50,52,53,54,72,80,93,99,115,129,132,135,142,135,135,123,134,162,166,169,179,184,197,203,200,208,206,193,184,181,183,178,174,164,165,162,155,167,178,177
ACTIVOS,CORRIENTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,4,8,9,19,20,21,22,22,22,22,24,24,24,24,24,24,24,31,32,31,31,31,31,31,34,34,29,30,34,35,41,41,42,42,43,44,44,44
ACTIVOS,ENTRE RIOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,6,6,10,10,10,13,13,14,16,18,18,19,19,20,20,22,22,22,21,21,21,21,22,22,22,22,22,22,12,12,12,12,13,13,13,13,13,15,15,17
ACTIVOS,FORMOSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTIVOS,JUJUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,1,1,1,1,1,1,1,1,1
ACTIVOS,LA PAMPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ACTIVOS,LA RIOJA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,5,7,8,8,8,13,13,17,18,21,27,29,32,32,32,36,36,35,38,38,40,42,42,42,43,44,44,47,47,47
ACTIVOS,MENDOZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,6,7,7,8,9,12,14,24,21,22,22,23,23,24,30,32,41,44,47,49,49,50,52,51,51,54,47,47,48,48,38,38,38,37,38,38,43,44,45,44
ACTIVOS,MISIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,7,7,11,11,11,23,23
ACTIVOS,NEUQUEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,7,10,11,11,18,18,22,26,27,31,42,47,50,66,73,80,81,82,84,86,87,88,89,92,95,98,98,85,86,86,86,87,90,89,90,92,91,91,91
ACTIVOS,RIO NEGRO,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,6,6,6,6,7,7,7,8,13,15,17,19,20,33,39,62,75,78,90,102,111,112,115,123,130,141,148,138,149,152,153,161,174,181,195,203,143,148
ACTIVOS,SALTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
ACTIVOS,SAN JUAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
ACTIVOS,SAN LUIS,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,7,6,6,6,6,7,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,5,5,5,5,5,5,5
ACTIVOS,SANTA CRUZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,7,9,9,9,9,9,9,19,21,21,22,23,23,31,31,31,37,40,40,40,40,40,40,40,40,40,41,41,24,24,25,25,26,31,31,31,32,32,32,32
ACTIVOS,SANTA FE,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,4,17,20,42,54,64,77,90,111,133,143,151,159,164,166,171,173,172,172,173,174,177,178,179,180,179,178,180,131,131,120,117,117,103,104,104,104,105,100,87,71,64,64
ACTIVOS,SANTIAGO DEL ESTERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,10,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,9,9,9,10,12,12,12,12,12,12,12,12
ACTIVOS,TIERRA DEL FUEGO,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,6,6,6,10,11,14,13,17,21,32,39,39,63,64,62,64,65,58,56,54,51,57,61,65,71,74,77,77,76,79,73,75,71,72,56,53,53,54,60,60,56,54,55,56
ACTIVOS,TUCUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,7,7,9,9,15,15,15,14,15,16,20,19,20,20,25,26,25,26,26,27,27,27,27,27,27,27,27,27,20,20,24,24,23,23,24,24,25,25,27,27,27,27
CONFIRMADOS,BUENOS AIRES,0,0,1,2,2,3,3,4,5,9,10,11,12,13,15,20,35,44,59,67,72,102,132,158,193,201,217,253,270,280,316,338,364,397,409,443,460,488,507,544,572,601,667,729,759,794,825,873,915,975,1036,1120,1181,1275,1331,1381,1429,1532,1598,1632,1677,1715
CONFIRMADOS,CABA,1,1,1,5,6,8,9,10,11,14,16,23,29,34,38,48,56,65,94,106,117,147,166,197,227,245,258,292,311,321,345,373,407,439,456,480,498,521,532,578,586,596,618,648,663,677,691,706,728,761,800,837,916,971,1007,1039,1089,1123,1168,1197,1255,1304
CONFIRMADOS,CATAMARCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONFIRMADOS,CHACO,0,0,0,0,0,0,2,2,2,4,4,5,7,10,11,12,14,15,20,27,31,40,52,55,60,65,69,81,84,96,99,107,115,115,119,123,138,144,149,149,150,153,184,191,202,224,248,253,258,263,270,280,287,294,297,307,307,311,314,326,337,342
CONFIRMADOS,CHUBUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4
CONFIRMADOS,CORDOBA,0,0,0,1,1,1,1,1,1,2,2,3,3,3,5,6,9,14,18,26,28,35,50,53,54,55,73,81,95,101,117,131,134,139,146,150,151,156,169,201,206,210,222,228,241,247,249,260,260,260,264,266,269,270,273,273,275,276,278,291,303,304
CONFIRMADOS,CORRIENTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,4,8,9,19,20,21,22,22,22,22,24,24,24,24,24,24,24,31,32,31,31,31,31,31,34,34,34,35,39,40,46,46,47,47,48,49,49,49
CONFIRMADOS,ENTRE RIOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,6,6,10,10,10,13,13,14,16,18,18,19,19,20,20,22,22,22,21,21,21,21,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,25,25,27
CONFIRMADOS,FORMOSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONFIRMADOS,JUJUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
CONFIRMADOS,LA PAMPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
CONFIRMADOS,LA RIOJA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,6,8,9,9,9,14,14,18,19,22,28,31,34,35,35,39,39,40,45,45,47,50,50,50,51,52,52,55,55,55
CONFIRMADOS,MENDOZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,6,7,8,9,10,13,15,25,25,27,27,29,30,32,38,40,49,54,57,59,62,63,68,69,69,72,73,73,74,75,75,75,75,75,76,78,83,84,85,84
CONFIRMADOS,MISIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,8,8,12,12,12,24,24
CONFIRMADOS,NEUQUEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,7,10,12,12,20,20,24,28,29,33,44,50,53,70,77,84,85,86,88,90,91,92,93,96,99,102,102,103,104,104,104,105,108,108,109,111,110,110,110
CONFIRMADOS,RIO NEGRO,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,8,8,8,8,9,9,9,10,15,17,19,21,22,35,42,65,78,81,94,106,115,116,119,127,137,148,165,169,180,184,185,193,206,214,228,236,242,248
CONFIRMADOS,SALTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
CONFIRMADOS,SAN JUAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CONFIRMADOS,SAN LUIS,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,7,6,6,6,6,7,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
CONFIRMADOS,SANTA CRUZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,7,9,9,9,9,9,9,19,21,21,22,23,23,31,31,31,37,40,40,40,40,40,40,40,40,40,41,41,41,41,42,42,43,48,48,48,49,49,49,49
CONFIRMADOS,SANTA FE,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,4,17,20,42,54,64,77,90,111,133,144,152,160,165,176,184,187,189,196,197,200,203,205,207,209,212,218,221,222,224,225,230,236,239,242,242,242,243,243,243,243,243,243
CONFIRMADOS,SANTIAGO DEL ESTERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,10,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,15,15,15,15,15,15,15,15
CONFIRMADOS,TIERRA DEL FUEGO,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,6,6,6,10,11,14,13,17,21,32,39,39,63,64,72,75,77,79,81,81,83,91,95,99,107,110,117,119,119,122,122,124,124,125,126,130,130,131,137,137,139,140,143,145
CONFIRMADOS,TUCUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,7,7,9,9,15,15,15,15,16,17,21,21,22,22,27,28,28,29,29,30,30,30,30,30,30,30,30,30,31,31,35,35,34,34,35,35,36,36,38,38,38,38
MUERTOS,BUENOS AIRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,6,5,6,8,8,10,12,15,16,17,19,23,24,31,32,36,40,41,43,44,49,52,54,55,55,59,64,68,72,74,76,77,83,85,87,90,92,95
MUERTOS,CABA,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,5,8,8,8,8,9,9,9,9,10,14,16,18,23,24,27,28,29,31,35,38,39,40,40,41,44,46,47,51,55,60,62,64,67,69,73,79,81
MUERTOS,CATAMARCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUERTOS,CHACO,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,5,5,6,7,7,7,7,7,7,8,8,8,8,8,9,9,10,10,10,10,11,11,11,11,12,12,12,13,13,14,14,14,17,18
MUERTOS,CHUBUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUERTOS,CORDOBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,3,4,5,6,6,6,6,7,9,9,10,10,11,12,12,13,14,14,14,14,15,17
MUERTOS,CORRIENTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUERTOS,ENTRE RIOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUERTOS,FORMOSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUERTOS,JUJUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUERTOS,LA PAMPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUERTOS,LA RIOJA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,5,5,5,5,6,6,6,6,6,6,6,6,6
MUERTOS,MENDOZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,4,4,4,5,5,5,5,5,5,5,5,5,6,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10
MUERTOS,MISIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
MUERTOS,NEUQUEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
MUERTOS,RIO NEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,6,6,6,6,6,7,7,7,7,8,8,8,8,9
MUERTOS,SALTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUERTOS,SAN JUAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUERTOS,SAN LUIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUERTOS,SANTA CRUZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUERTOS,SANTA FE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MUERTOS,SANTIAGO DEL ESTERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUERTOS,TIERRA DEL FUEGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUERTOS,TUCUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RECUPERADOS,BUENOS AIRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,122,127,127,168,168,168,168,168,168,168,168,168
RECUPERADOS,CABA,0,0,0,0,0,0,0,0,0,1,3,3,3,11,11,11,11,11,25,25,43,43,43,53,53,53,53,97,97,97,97,97,97,97,188,188,188,188,188,270,270,270,270,270,270,270,270,270,361,361,361,374,385,385,451,454,466,466,466,466,496,496
RECUPERADOS,CATAMARCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RECUPERADOS,CHACO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,56,60,60,60,60,60,60,60,60,60,60,60
RECUPERADOS,CHUBUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RECUPERADOS,CORDOBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,13,14,31,33,37,37,37,38,38,38,38,43,45,45,58,70,75,75,80,87,96,96,100,109,110,110,110
RECUPERADOS,CORRIENTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5
RECUPERADOS,ENTRE RIOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10
RECUPERADOS,FORMOSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RECUPERADOS,JUJUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4
RECUPERADOS,LA PAMPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RECUPERADOS,LA RIOJA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
RECUPERADOS,MENDOZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,5,5,5,8,8,10,10,10,10,17,17,17,17,27,27,27,28,28,30,30,30,30,30
RECUPERADOS,MISIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RECUPERADOS,NEUQUEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,15,15,15,15,15,15,15,15
RECUPERADOS,RIO NEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,25,25,25,25,25,25,25,25,25,91,91
RECUPERADOS,SALTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RECUPERADOS,SAN JUAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
RECUPERADOS,SAN LUIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6
RECUPERADOS,SANTA CRUZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,17
RECUPERADOS,SANTA FE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,13,16,22,22,24,24,25,26,27,31,38,39,89,91,103,111,117,134,136,136,136,136,141,154,170,177,177
RECUPERADOS,SANTIAGO DEL ESTERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3
RECUPERADOS,TIERRA DEL FUEGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,12,21,25,27,32,34,34,34,36,36,40,42,43,43,49,49,53,53,70,77,77,77,77,77,83,86,88,89
RECUPERADOS,TUCUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8
