PLACE,LATITUD,LONGITUD,DEPARTAMENTO
VENADO TUERTO,-33.742717,-61.968892000000004,0.0
CARMEN,-33.732215000000004,-61.761412,0.0
RUFINO,-34.264474,-62.711107,0.0
FIRMAT,-33.459551,-61.485589000000004,0.0
ARMSTRONG,-32.784065999999996,-61.60290500000001,0.0
LAS PAREJAS,-32.681765000000006,-61.520607,0.0
HELVECIA,-31.100711999999998,-60.089799,0.0
RECREO,-31.493916,-60.732801,0.0
SANTA FE,-31.645407000000002,-60.706028,0.0
ARROYO LEYES,-31.569969,-60.530974,0.0
SANTO TOME,-31.677775,-60.773479,0.0
SAUCE VIEJO,-31.76993,-60.834151,0.0
MONTE VERA,-31.516957,-60.6775,0.0
FRANCK,-31.588010999999998,-60.937940000000005,0.0
ESPERANZA,-31.44946,-60.930398,0.0
HUMBOLDT,-31.397104,-61.081786,0.0
FUNES,-32.922953,-60.821009,0.0
TIMBUES,-32.66485,-60.792032999999996,0.0
PUEBLO ESTHER,-33.071835,-60.578131000000006,0.0
ROSARIO,-32.954628,-60.656027,0.0
V GOB GALVEZ,-33.025186,-60.633283999999996,0.0
GRANADERO BAIGORRIA,-32.855283,-60.704953,0.0
RAFAELA,-31.253141999999997,-61.490444999999994,0.0
JOSEFINA,-31.405684,-61.990883,0.0
TACURAL,-30.846502,-61.591908,0.0
SAN JAVIER,-30.577403999999998,-59.933779,0.0
RECONQUISTA,-29.147876,-59.646278,0.0
FLORENCIA,-28.042292,-59.2212,0.0
VILLA CONSTITUCION,-33.230067,-60.328915,0.0
GALVEZ,-32.02903,-61.218563,0.0
SAN GENARO,-32.369215000000004,-61.357046999999994,0.0
VILLA MUGUETA,-33.312523999999996,-61.053658,0.0
CAPITAN BERMUDEZ,-32.821397,-60.715378,0.0
SAN LORENZO,-32.747347,-60.734375,0.0
ROLDAN,-32.897898,-60.90750500000001,0.0
SASTRE,-31.767943,-61.828734,0.0
CERES,-29.882446,-61.946952,0.0
CASILDA,-33.045716999999996,-61.167543,0.0
SUNCHALES,-30.944259000000002,-61.560157,0.0
CAYASTA,-31.20025,-60.159648,0.0
CARRERAS,-33.598420000000004,-61.309525,0.0
AVELLANEDA,-29.118376,-59.658655,0.0
CANADA DE GOMEZ,-32.818740999999996,-61.394979000000006,0.0
ANGEL GALLARDO,-31.556853000000004,-60.67706999999999,0.0
SAN JOSE DEL RINCON,-31.60105,-60.581889000000004,0.0
SAN CARLOS CENTRO,-31.731322,-61.092445,0.0
ALVAREZ,-33.130088,-60.802714,0.0
PEREZ,-32.998079,-60.771343,0.0
VILLA GOB. GALVEZ,-33.02516,-60.633488,0.0
SUARDI,-30.535065999999997,-61.960855,0.0
AROCENA,-32.077673,-60.973637,0.0
MACIEL,-32.904055,-60.687943000000004,0.0
SAN JUSTO,-30.788725,-60.592346,0.0
PUERTO GRAL. SAN MARTIN,-32.715070000000004,-60.736098999999996,0.0
CARLOS PELLEGRINI,-32.051251,-61.784380000000006,0.0
SAN JORGE,-31.898085,-61.859834,0.0
VERA,-29.460022,-60.21484399999999,0.0
D_BELGRANO,0.0,0.0,0.0
D_CASEROS,0.0,0.0,0.0
D_CASTELLANOS,0.0,0.0,0.0
D_CONSTITUCION,0.0,0.0,0.0
D_GARAY,0.0,0.0,0.0
D_GENERAL LOPEZ,0.0,0.0,0.0
D_GENERAL OBLIGADO,0.0,0.0,0.0
D_IRIONDO,0.0,0.0,0.0
D_LA CAPITAL,0.0,0.0,0.0
D_LAS COLONIAS,0.0,0.0,0.0
D_ROSARIO,0.0,0.0,0.0
D_SAN CRISTOBAL,0.0,0.0,0.0
D_SAN JAVIER,0.0,0.0,0.0
D_SAN JERONIMO,0.0,0.0,0.0
D_SAN JUSTO,0.0,0.0,0.0
CAMPO LA PEPITA,0.0,0.0,0.0
D_SAN LORENZO,0.0,0.0,0.0
D_SAN MARTIN,0.0,0.0,0.0
D_VERA,0.0,0.0,0.0
D_BELGRANO,0.0,0.0,0.0
D_CASEROS,0.0,0.0,0.0
D_CASTELLANOS,0.0,0.0,0.0
D_CONSTITUCION,0.0,0.0,0.0
D_GARAY,0.0,0.0,0.0
D_GENERAL LOPEZ,0.0,0.0,0.0
D_GENERAL OBLIGADO,0.0,0.0,0.0
D_IRIONDO,0.0,0.0,0.0
D_LA CAPITAL,0.0,0.0,0.0
D_LAS COLONIAS,0.0,0.0,0.0
D_ROSARIO,0.0,0.0,0.0
D_SAN CRISTOBAL,0.0,0.0,0.0
D_SAN JAVIER,0.0,0.0,0.0
D_SAN JERONIMO,0.0,0.0,0.0
D_SAN JUSTO,0.0,0.0,0.0
CAMPO LA PEPITA,0.0,0.0,0.0
D_SAN LORENZO,0.0,0.0,0.0
D_SAN MARTIN,0.0,0.0,0.0
D_VERA,0.0,0.0,0.0
D_BELGRANO,0.0,0.0,0.0
D_CASEROS,0.0,0.0,0.0
D_CASTELLANOS,0.0,0.0,0.0
D_CONSTITUCION,0.0,0.0,0.0
D_GARAY,0.0,0.0,0.0
D_GENERAL LOPEZ,0.0,0.0,0.0
D_GENERAL OBLIGADO,0.0,0.0,0.0
D_IRIONDO,0.0,0.0,0.0
D_LA CAPITAL,0.0,0.0,0.0
D_LAS COLONIAS,0.0,0.0,0.0
D_ROSARIO,0.0,0.0,0.0
D_SAN CRISTOBAL,0.0,0.0,0.0
D_SAN JAVIER,0.0,0.0,0.0
D_SAN JERONIMO,0.0,0.0,0.0
D_SAN JUSTO,0.0,0.0,0.0
CAMPO LA PEPITA,0.0,0.0,0.0
D_SAN LORENZO,0.0,0.0,0.0
D_SAN MARTIN,0.0,0.0,0.0
D_VERA,0.0,0.0,0.0
CAMPO DE LA PEPITA,0.0,0.0,0.0
PUERTO RECONQUISTA,0.0,0.0,0.0
PUEBLO ANDINO,0.0,0.0,0.0
SERODINO,0.0,0.0,0.0
ARROYO SECO,0.0,0.0,0.0
CNEL RODOLFO S DOMINGUEZ,0.0,0.0,0.0
CORONDA,0.0,0.0,0.0
GABOTO,0.0,0.0,0.0
GESSLER,0.0,0.0,0.0
CARCARANA,0.0,0.0,0.0
BELGRANO,0.0,0.0,0.0
CASEROS,0.0,0.0,0.0
CASTELLANOS,0.0,0.0,0.0
CONSTITUCION,0.0,0.0,0.0
GARAY,0.0,0.0,0.0
GENERAL LOPEZ,0.0,0.0,0.0
GENERAL OBLIGADO,0.0,0.0,0.0
PUERTO RECONQUISTA,0.0,0.0,0.0
IRIONDO,0.0,0.0,0.0
PUEBLO ANDINO,0.0,0.0,0.0
SERODINO,0.0,0.0,0.0
LA CAPITAL,0.0,0.0,0.0
LAS COLONIAS,0.0,0.0,0.0
ARROYO SECO,0.0,0.0,0.0
CNEL RODOLFO S DOMINGUEZ,0.0,0.0,0.0
SAN CRISTOBAL,0.0,0.0,0.0
SAN JERONIMO,0.0,0.0,0.0
CORONDA,0.0,0.0,0.0
GABOTO,0.0,0.0,0.0
GESSLER,0.0,0.0,0.0
CARCARANA,0.0,0.0,0.0
SAN MARTIN,0.0,0.0,0.0
BELGRANO,0.0,0.0,0.0
CASEROS,0.0,0.0,0.0
CASTELLANOS,0.0,0.0,0.0
CONSTITUCION,0.0,0.0,0.0
GARAY,0.0,0.0,0.0
GENERAL LOPEZ,0.0,0.0,0.0
GENERAL OBLIGADO,0.0,0.0,0.0
PUERTO RECONQUISTA,0.0,0.0,0.0
IRIONDO,0.0,0.0,0.0
PUEBLO ANDINO,0.0,0.0,0.0
SERODINO,0.0,0.0,0.0
LA CAPITAL,0.0,0.0,0.0
LAS COLONIAS,0.0,0.0,0.0
ARROYO SECO,0.0,0.0,0.0
CNEL RODOLFO S DOMINGUEZ,0.0,0.0,0.0
SAN CRISTOBAL,0.0,0.0,0.0
SAN JERONIMO,0.0,0.0,0.0
CORONDA,0.0,0.0,0.0
GABOTO,0.0,0.0,0.0
GESSLER,0.0,0.0,0.0
CARCARANA,0.0,0.0,0.0
SAN MARTIN,0.0,0.0,0.0
CHABAS,0.0,0.0,0.0
